booking_id;booking_date;booking _channel;customer_id;stay_start_date;number_of_nights;per_night_rate;hotel_id
RES009749;2024/09/19;Velora.com;251;2024/10/03;2;138,25;102
RES009750;2024/09/19;Velora.com;305;2024/10/16;2;235,53;106
RES009751;2024/09/05;At the hotel;262;2024/09/06;1;175,87;104
RES009752;2024/09/10;At the hotel;215;2024/09/23;1;113,94;105
RES009753;2024/10/18;Velora.com;309;2024/10/20;2;127,84;105
RES009754;2024/09/09;Velora.com;426;2024/10/14;1;148,89;102
RES009755;2024/07/15;Phone;135;2024/11/16;2;150,6;110
RES009756;2024/09/04;At the hotel;446;2024/09/06;1;175,87;102
RES009757;2024/08/27;GDS;134;2024/09/08;2;140,14;106
RES009758;2024/06/11;GDS;441;2024/09/23;5;112,7;102
RES009759;2024/07/09;Velora.com;11;2024/09/06;3;33,71;107
RES009760;2024/08/31;Velora.com;333;2024/10/05;1;158,79;103
RES009761;2024/10/20;App;333;2024/10/29;2;249,6;109
RES009762;2024/10/17;Phone;45;2024/10/22;2;134,34;102
RES009763;2024/10/09;At the hotel;329;2024/10/11;2;150,6;105
RES009764;2024/08/06;Velora.com;71;2024/09/07;2;225,45;101
RES009765;2024/10/06;Phone;284;2024/10/28;1;143,18;110
RES009766;2024/09/05;App;118;2024/10/04;1;178,72;103
RES009767;2024/09/10;Phone;176;2024/09/15;1;184,86;108
RES009768;2024/09/27;At the hotel;179;2024/09/29;3;216,58;104
RES009769;2024/10/23;App;338;2024/10/25;2;139,39;102
RES009770;2024/09/21;Velora.com;330;2024/10/22;1;271,2;109
RES009771;2024/10/16;At the hotel;34;2024/10/20;2;132,53;104
RES009772;2024/08/21;App;418;2024/09/09;1;179,24;102
RES009773;2024/07/19;GDS;69;2024/10/10;1;219,11;107
RES009774;2024/11/01;At the hotel;162;2024/11/02;2;0;105
RES009775;2024/10/12;Velora.com;201;2024/10/16;3;218,67;109
RES009776;2024/09/26;Velora.com;43;2024/09/30;1;129,61;104
RES009777;2024/08/23;Connected Wholesaler;55;2024/09/15;2;98,02;108
RES009778;2024/08/20;GDS;327;2024/09/04;1;116,02;105
RES009779;2024/11/02;Phone;180;2024/11/04;2;145,45;102
RES009780;2024/10/11;Connected Wholesaler;442;2024/10/17;1;102,22;110
RES009781;2024/10/01;At the hotel;279;2024/10/02;1;163,51;102
RES009782;2024/10/24;Velora.com;44;2024/10/30;1;122,89;106
RES009783;2024/03/10;At the hotel;245;2024/09/07;3;128,48;109
RES009784;2024/09/02;App;403;2024/09/11;2;186,9;108
RES009785;2024/09/23;GDS;1;2024/09/25;1;156,62;108
RES009786;2024/06/10;Velora.com;484;2024/09/23;3;39,16;105
RES009787;2024/09/10;At the hotel;228;2024/09/24;2;152,72;105
RES009788;2024/09/21;GDS;347;2024/10/17;1;206,19;106
RES009789;2024/09/19;At the hotel;52;2024/09/21;1;178,07;110
RES009790;2024/10/16;GDS;25;2024/10/20;1;156,3;101
RES009791;2024/09/08;At the hotel;369;2024/09/10;1;157,57;104
RES009792;2024/09/04;GDS;279;2024/10/01;2;144,58;106
RES009793;2024/07/05;GDS;118;2024/09/10;1;178,92;109
RES009794;2024/10/07;At the hotel;398;2024/10/13;2;33,76;107
RES009795;2024/10/23;GDS;147;2024/10/24;1;112,65;107
RES009796;2024/10/13;At the hotel;442;2024/11/17;2;77,43;109
RES009797;2024/09/18;GDS;449;2024/09/25;2;113,33;102
RES009798;2024/09/09;Velora.com;497;2024/09/11;1;129,58;109
RES009799;2024/09/08;At the hotel;415;2024/09/10;2;70,54;103
RES009800;2024/09/26;Velora.com;247;2024/10/02;1;138,55;106
RES009801;2024/09/23;Velora.com;471;2024/09/28;2;103,07;106
RES009802;2024/10/09;App;302;2024/11/14;3;115,15;109
RES009803;2024/09/18;At the hotel;61;2024/09/20;1;132,64;110
RES009804;2024/09/30;GDS;38;2024/10/19;1;124,69;107
RES009805;2024/09/20;Velora.com;127;2024/09/29;3;103,56;108
RES009806;2024/10/13;GDS;428;2024/11/22;1;220,44;101
RES009807;2024/09/01;Velora.com;208;2024/10/27;2;135,78;103
RES009808;2024/08/06;GDS;8;2024/09/30;1;134,34;102
RES009809;2024/10/11;App;227;2024/10/12;2;99,56;110
RES009810;2024/09/30;GDS;59;2024/10/03;2;132,64;105
RES009811;2024/07/21;App;376;2024/09/14;4;186,73;105
RES009812;2024/10/11;At the hotel;441;2024/10/12;1;173,26;106
RES009813;2024/10/02;Velora.com;25;2024/10/30;3;203,47;103
RES009814;2024/10/03;GDS;57;2024/10/07;1;194,63;101
RES009815;2024/09/29;Velora.com;419;2024/10/17;5;153;103
RES009816;2024/10/03;Velora.com;244;2024/10/16;2;198,78;101
RES009817;2024/10/09;At the hotel;16;2024/11/19;1;0;108
RES009818;2024/10/04;Velora.com;115;2024/10/08;2;135,78;109
RES009819;2024/09/02;Velora.com;196;2024/11/02;1;137,35;102
RES009820;2024/09/05;Phone;423;2024/09/19;1;35,73;107
RES009821;2024/10/10;Phone;232;2024/10/14;1;151,8;108
RES009822;2024/10/15;Velora.com;283;2024/10/31;3;116,7;103
RES009823;2024/09/23;At the hotel;71;2024/09/29;1;0;101
RES009824;2024/09/08;At the hotel;395;2024/09/23;2;62,64;103
RES009825;2024/10/01;Velora.com;493;2024/10/14;1;249,45;103
RES009826;2024/09/06;At the hotel;109;2024/09/06;2;253,42;102
RES009827;2024/08/19;GDS;198;2024/10/11;1;141,5;102
RES009828;2024/07/29;Velora.com;493;2024/09/21;1;154,64;110
RES009829;2024/09/27;Velora.com;306;2024/09/27;2;191,44;101
RES009830;2024/08/29;Phone;444;2024/09/06;2;138,55;101
RES009831;2024/04/17;GDS;189;2024/09/26;1;195,78;108
RES009832;2024/08/09;Velora.com;102;2024/10/02;2;34,25;107
RES009833;2024/09/08;Velora.com;261;2024/09/08;2;0;105
RES009834;2024/09/07;Velora.com;219;2024/09/07;2;118,53;109
RES009835;2024/02/07;At the hotel;323;2024/10/26;2;119,69;106
RES009836;2024/06/18;Velora.com;104;2024/10/04;2;131,51;104
RES009837;2024/09/22;GDS;92;2024/09/24;1;135,76;107
RES009838;2024/10/31;Phone;305;2024/11/02;2;162,05;104
RES009839;2024/09/25;Velora.com;128;2024/10/26;1;207,88;101
RES009840;2024/09/01;At the hotel;24;2024/09/07;1;70,54;106
RES009841;2024/08/29;Velora.com;251;2024/09/15;1;168,32;108
RES009842;2024/09/23;At the hotel;120;2024/11/01;1;33,73;104
RES009843;2024/08/23;GDS;183;2024/10/17;2;122,88;103
RES009844;2024/08/23;Velora.com;328;2024/09/13;1;151,51;101
RES009845;2024/08/28;At the hotel;437;2024/09/20;2;72,29;101
RES009846;2024/10/18;Connected Wholesaler;39;2024/11/02;1;104,82;104
RES009847;2024/09/10;GDS;215;2024/10/17;2;236,36;107
RES009848;2024/09/25;At the hotel;53;2024/10/01;2;198,96;104
RES009849;2024/08/29;GDS;40;2024/09/11;1;219,83;105
RES009850;2024/10/03;Velora.com;148;2024/10/06;2;105,47;110
RES009851;2024/10/26;At the hotel;61;2024/11/03;1;96,97;108
RES009852;2024/09/07;At the hotel;143;2024/09/07;1;193,6;109
RES009853;2024/10/02;At the hotel;369;2024/10/29;1;144,7;108
RES009854;2024/09/03;At the hotel;488;2024/09/16;3;81,92;107
RES009855;2024/09/13;Velora.com;174;2024/10/02;4;34,25;102
RES009856;2024/09/18;Phone;176;2024/10/29;2;114,46;108
RES009857;2024/09/04;At the hotel;277;2024/09/05;1;179,24;101
RES009858;2024/09/18;GDS;86;2024/10/01;5;282,75;101
RES009859;2024/10/02;Velora.com;287;2024/10/29;2;191,5;107
RES009860;2024/09/09;At the hotel;320;2024/09/12;1;33,76;107
RES009861;2024/09/05;GDS;143;2024/09/12;1;116,79;101
RES009862;2024/09/12;Connected Wholesaler;225;2024/09/19;2;128,31;108
RES009863;2024/09/24;Connected Wholesaler;257;2024/09/24;2;104,82;109
RES009864;2024/09/13;GDS;224;2024/10/12;2;138,54;110
RES009865;2024/09/27;Velora.com;392;2024/09/30;1;114,76;102
RES009866;2024/09/28;GDS;299;2024/10/17;3;176,32;103
RES009867;2024/10/06;At the hotel;197;2024/10/13;1;72,28;103
RES009868;2024/09/24;GDS;483;2024/10/18;1;156,75;103
RES009869;2024/09/11;Velora.com;291;2024/10/03;1;105,42;108
RES009870;2024/09/18;At the hotel;253;2024/09/20;2;132,64;110
RES009871;2024/09/19;At the hotel;242;2024/09/26;1;151,93;105
RES009872;2024/09/21;Velora.com;278;2024/09/26;3;211,36;101
RES009873;2024/09/04;Velora.com;73;2024/09/18;2;188,91;108
RES009874;2024/03/12;Velora.com;212;2024/10/06;2;202,41;105
RES009875;2024/08/16;GDS;82;2024/10/16;2;114,55;102
RES009876;2024/09/20;At the hotel;419;2024/09/23;1;0;107
RES009878;2024/09/20;App;356;2024/09/20;2;108,43;103
RES009879;2024/08/24;Velora.com;352;2024/09/12;2;99,56;106
RES009880;2024/09/09;GDS;337;2024/09/18;1;134,4;107
RES009881;2024/08/02;GDS;28;2024/09/10;2;148,19;101
RES009882;2024/09/28;GDS;476;2024/10/16;2;204,82;105
RES009883;2024/09/27;Phone;94;2024/10/02;1;174,18;101
RES009884;2024/09/18;Velora.com;295;2024/10/06;1;113,51;110
RES009885;2024/09/12;GDS;374;2024/09/16;1;126,5;108
RES009886;2024/10/07;Velora.com;67;2024/10/07;2;200,3;105
RES009887;2024/10/17;At the hotel;218;2024/10/22;4;156,75;103
RES009888;2024/09/07;At the hotel;193;2024/09/09;1;228,61;107
RES009889;2024/08/07;GDS;357;2024/10/01;1;141,61;101
RES009890;2024/08/30;App;77;2024/09/20;1;190,83;108
RES009891;2024/02/04;Velora.com;220;2024/10/15;1;34,25;101
RES009892;2024/08/12;Velora.com;465;2024/09/23;1;198,66;107
RES009893;2024/10/21;GDS;439;2024/10/27;2;117,57;108
RES009894;2024/09/01;App;479;2024/10/04;2;219,9;105
RES009895;2024/10/06;GDS;365;2024/10/09;2;162,31;101
RES009896;2024/09/16;GDS;299;2024/09/17;4;128,74;104
RES009897;2024/11/03;At the hotel;243;2024/11/03;2;0;104
RES009899;2024/09/26;Velora.com;226;2024/10/03;1;203,8;108
RES009900;2024/08/21;Phone;237;2024/10/18;1;174,7;104
RES009901;2024/08/13;GDS;442;2024/09/29;4;179,53;103
RES009902;2024/10/24;GDS;179;2024/11/03;1;126,5;108
RES009903;2024/08/23;Phone;33;2024/09/18;3;150,73;105
RES009904;2024/09/22;Velora.com;447;2024/10/04;1;192,93;108
RES009905;2024/10/21;At the hotel;161;2024/10/25;3;149,4;101
RES009906;2024/09/13;GDS;83;2024/09/21;2;204,99;102
RES009907;2024/06/28;Velora.com;152;2024/09/13;4;33,99;109
RES009908;2024/09/16;Velora.com;496;2024/09/19;2;135,78;105
RES009909;2024/08/15;Velora.com;36;2024/09/15;2;126,16;103
RES009910;2024/09/26;At the hotel;336;2024/09/27;1;174,68;108
RES009911;2024/10/07;App;91;2024/10/13;2;195,41;105
RES009912;2024/09/07;GDS;29;2024/10/31;1;330,87;104
RES009913;2024/09/21;GDS;89;2024/10/16;3;168,81;103
RES009914;2024/09/26;GDS;423;2024/10/03;1;262,58;109
RES009915;2024/08/07;Other;227;2024/09/16;1;173,19;103
RES009916;2024/09/16;At the hotel;418;2024/09/17;2;166,4;109
RES009917;2024/09/01;Velora.com;331;2024/09/26;2;141,68;110
RES009918;2024/09/10;GDS;439;2024/09/12;1;138,03;101
RES009919;2024/09/09;At the hotel;276;2024/09/13;1;33,76;106
RES009920;2024/09/29;Velora.com;134;2024/10/03;2;272,38;109
RES009921;2024/08/25;App;141;2024/10/07;2;285,8;108
RES009922;2024/09/01;App;150;2024/10/14;1;164,74;106
RES009923;2024/10/03;Velora.com;397;2024/10/09;1;136,73;105
RES009924;2024/08/27;At the hotel;355;2024/09/06;2;165,19;109
RES009925;2024/09/06;Velora.com;260;2024/09/09;1;114,46;103
RES009926;2024/10/21;App;227;2024/11/24;2;139,63;110
RES009927;2024/09/02;GDS;337;2024/10/10;2;132,53;106
RES009928;2024/09/17;GDS;419;2024/09/24;3;132,52;105
RES009929;2024/09/11;Phone;330;2024/09/22;2;192,37;103
RES009930;2024/10/22;At the hotel;461;2024/11/22;2;77,43;107
RES009931;2024/09/10;At the hotel;60;2024/09/16;2;226,37;104
RES009932;2024/10/03;Velora.com;344;2024/11/05;2;120,18;106
RES009933;2024/08/06;Connected Wholesaler;226;2024/09/15;2;104,01;103
RES009934;2024/09/20;At the hotel;22;2024/09/22;1;0;110
RES009935;2024/09/20;App;106;2024/10/04;2;121,53;104
RES009936;2024/08/31;Velora.com;478;2024/09/03;1;132,14;107
RES009937;2024/08/13;GDS;323;2024/09/22;3;192,37;104
RES009938;2024/10/11;Velora.com;160;2024/10/15;2;181,67;106
RES009939;2024/07/01;At the hotel;56;2024/10/26;1;133,33;109
RES009940;2024/09/11;Phone;328;2024/10/14;2;200,65;109
RES009941;2024/09/27;Phone;156;2024/09/29;1;110,84;106
RES009942;2024/07/20;App;296;2024/09/17;2;296,31;101
RES009943;2024/08/06;GDS;431;2024/10/12;2;82,6;106
RES009944;2024/08/08;GDS;36;2024/09/10;4;212,03;102
RES009945;2024/09/20;GDS;454;2024/10/24;1;105,47;109
RES009946;2024/09/28;App;373;2024/09/28;2;17,12;107
RES009947;2024/10/04;At the hotel;91;2024/11/05;2;149,72;107
RES009948;2024/08/12;GDS;65;2024/10/16;3;82,6;104
RES009949;2024/09/20;Velora.com;63;2024/09/26;2;126,76;109
RES009950;2024/09/24;Connected Wholesaler;147;2024/09/30;1;99,63;108
RES009951;2024/10/25;Connected Wholesaler;163;2024/10/29;2;172,46;102
RES009952;2024/10/04;GDS;345;2024/10/16;1;53,01;101
RES009953;2024/08/13;GDS;409;2024/09/29;1;164,88;101
RES009954;2024/09/15;App;48;2024/09/21;1;128,49;104
RES009955;2024/09/20;GDS;242;2024/09/24;1;169,63;108
RES009956;2024/10/03;At the hotel;498;2024/10/03;1;90,43;108
RES009957;2024/10/01;GDS;121;2024/10/03;2;110,84;102
RES009958;2024/07/25;Velora.com;148;2024/09/05;2;143,27;104
RES009959;2024/09/25;Phone;306;2024/10/03;1;140,45;103
RES009960;2024/09/25;At the hotel;395;2024/09/29;3;34,2;105
RES009961;2024/09/19;App;427;2024/10/01;2;201,88;108
RES009962;2024/09/14;Velora.com;72;2024/09/19;1;137,35;110
RES009963;2024/06/07;At the hotel;220;2024/10/06;1;101,21;107
RES009964;2024/09/08;App;406;2024/09/12;2;128,91;104
RES009965;2024/09/14;Velora.com;208;2024/09/15;3;112,17;107
RES009966;2024/09/12;Phone;333;2024/09/20;1;106,37;104
RES009967;2024/09/21;At the hotel;464;2024/10/26;2;218,07;106
RES009968;2024/10/07;GDS;228;2024/10/28;1;233,74;101
RES009969;2024/08/29;GDS;57;2024/09/16;2;183,95;101
RES009970;2024/10/12;Velora.com;383;2024/10/27;1;112,83;108
RES009971;2024/09/07;At the hotel;238;2024/09/09;3;33,76;108
RES009972;2024/09/12;App;363;2024/09/13;2;115,3;103
RES009973;2024/10/10;At the hotel;126;2024/10/14;1;177,11;110
RES009974;2024/10/09;GDS;60;2024/10/10;2;143,49;104
RES009975;2024/10/09;Velora.com;214;2024/10/17;1;206,19;102
RES009976;2024/09/26;At the hotel;13;2024/11/03;3;151,8;105
RES009977;2024/09/15;GDS;71;2024/10/01;1;122,13;110
RES009978;2024/10/08;Velora.com;371;2024/10/15;2;135,78;106
RES009979;2024/08/25;Velora.com;283;2024/09/12;2;229,93;105
RES009980;2024/08/20;Phone;473;2024/09/06;5;165,19;103
RES009981;2024/09/05;Phone;139;2024/09/18;2;201,37;103
RES009982;2024/11/01;At the hotel;376;2024/11/01;1;115,15;105
RES009983;2024/10/08;Velora.com;326;2024/10/15;1;132,64;104
RES009984;2024/09/04;GDS;445;2024/09/24;1;195,26;108
RES009985;2024/03/24;At the hotel;415;2024/09/21;2;112,04;106
RES009986;2024/09/29;GDS;177;2024/09/30;5;128;109
RES009987;2024/08/04;GDS;356;2024/10/01;1;82,6;109
RES009988;2024/10/07;Velora.com;351;2024/10/09;2;123,97;101
RES009989;2024/10/18;At the hotel;368;2024/10/19;1;77,37;110
RES009990;2024/10/01;App;172;2024/10/18;2;163,07;106
RES009991;2024/10/03;GDS;282;2024/10/06;1;112,05;105
RES009992;2024/09/24;Phone;148;2024/10/01;1;163,51;109
RES009993;2024/09/15;App;19;2024/10/18;2;192,77;107
RES009994;2024/10/03;At the hotel;123;2024/10/08;2;174,24;110
RES009995;2024/09/07;At the hotel;182;2024/09/07;1;66,26;104
RES009996;2024/02/29;Velora.com;288;2024/09/26;4;33,71;106
RES009997;2024/09/21;At the hotel;21;2024/10/01;2;70,48;106
RES009998;2024/09/20;App;143;2024/09/20;2;156,75;102
RES009999;2024/09/18;App;4;2024/09/21;2;164,91;105
RES010000;2024/09/13;Velora.com;325;2024/09/21;2;95,29;110
RES010001;2024/08/16;App;381;2024/09/04;2;210,32;108
RES010002;2024/09/26;GDS;140;2024/10/14;1;163,85;106
RES010003;2024/08/08;App;487;2024/10/21;1;228,91;105
RES010004;2024/10/15;GDS;291;2024/11/21;4;114,53;102
RES010005;2024/10/04;Phone;142;2024/10/09;2;287,01;106
RES010006;2024/09/24;Velora.com;459;2024/10/31;2;171,07;105
RES010007;2024/10/14;Phone;224;2024/10/22;3;156,33;105
RES010008;2024/10/04;App;26;2024/11/05;2;132,52;101
RES010009;2024/09/17;Connected Wholesaler;85;2024/09/28;1;100,38;107
RES010010;2024/05/10;At the hotel;184;2024/10/25;2;102,41;103
RES010011;2024/09/21;App;424;2024/09/29;1;121,67;103
RES010012;2024/09/02;GDS;234;2024/09/05;1;138,55;103
RES010013;2024/10/09;At the hotel;136;2024/10/10;4;174,7;108
RES010014;2024/08/11;Velora.com;342;2024/09/29;1;341,81;102
RES010015;2024/06/19;Velora.com;109;2024/09/11;1;112,14;108
RES010016;2024/10/09;GDS;411;2024/10/22;2;132,53;106
RES010017;2024/09/16;Connected Wholesaler;20;2024/10/20;2;154,92;109
RES010018;2024/09/19;GDS;189;2024/09/20;2;144,7;107
RES010019;2024/10/12;Phone;295;2024/10/22;2;177,25;108
RES010020;2024/10/25;App;277;2024/10/26;1;126,5;110
RES010021;2024/08/14;Phone;366;2024/09/12;1;174,7;107
RES010022;2024/09/04;Velora.com;283;2024/10/02;2;150,29;103
RES010023;2024/09/05;GDS;322;2024/10/03;1;163,61;101
RES010024;2024/09/12;Velora.com;43;2024/10/04;2;90,51;108
RES010025;2024/10/02;Phone;263;2024/10/11;2;122,07;102
RES010026;2024/03/23;At the hotel;154;2024/10/05;2;86,54;104
RES010027;2024/10/19;GDS;418;2024/10/23;3;162,67;106
RES010028;2024/10/16;At the hotel;256;2024/10/20;1;186,74;105
RES010029;2024/09/10;GDS;409;2024/10/27;1;312,91;110
RES010030;2024/10/03;App;254;2024/10/19;1;131,32;109
RES010031;2024/08/30;GDS;164;2024/09/09;1;129,58;108
RES010032;2024/10/02;At the hotel;262;2024/10/03;1;204,82;104
RES010033;2024/10/03;Velora.com;353;2024/10/09;1;147,58;110
RES010034;2024/10/18;Velora.com;436;2024/11/22;2;268,29;102
RES010035;2024/09/12;At the hotel;206;2024/09/12;1;150,6;102
RES010036;2024/09/21;At the hotel;411;2024/09/25;1;70,48;105
RES010037;2024/09/03;Velora.com;96;2024/10/20;2;153,74;107
RES010038;2024/08/21;At the hotel;363;2024/09/10;2;182,89;102
RES010039;2024/10/02;App;491;2024/11/02;2;144,25;110
RES010040;2024/09/04;At the hotel;152;2024/09/06;1;70,91;107
RES010041;2024/10/09;GDS;379;2024/10/11;1;180,87;108
RES010042;2024/09/28;GDS;454;2024/09/29;2;108,43;110
RES010043;2024/09/22;Velora.com;124;2024/09/28;3;148,48;103
RES010044;2024/07/17;Phone;494;2024/10/04;1;241,77;108
RES010045;2024/09/15;Connected Wholesaler;445;2024/10/20;2;174,04;107
RES010046;2024/08/23;GDS;250;2024/09/08;1;185,43;101
RES010047;2024/09/13;App;305;2024/09/13;2;137,46;108
RES010048;2024/09/20;At the hotel;266;2024/09/20;4;180,35;104
RES010049;2024/08/29;At the hotel;84;2024/10/03;3;218,07;108
RES010050;2024/08/23;Phone;244;2024/09/30;1;151,8;101
RES010051;2024/09/29;GDS;254;2024/10/24;1;161,74;107
RES010052;2024/09/06;At the hotel;184;2024/09/13;2;184,24;103
RES010053;2024/09/02;App;335;2024/09/23;2;182,72;103
RES010054;2024/09/04;At the hotel;342;2024/09/06;3;149,4;103
RES010055;2024/04/18;At the hotel;147;2024/09/17;2;98,79;102
RES010056;2024/08/04;App;42;2024/09/13;1;108,84;110
RES010057;2024/09/09;App;375;2024/09/11;3;212,12;102
RES010058;2024/10/03;App;157;2024/10/03;1;195,05;103
RES010059;2024/08/30;Phone;348;2024/09/25;1;150,6;108
RES010060;2024/09/09;GDS;291;2024/10/21;1;133,33;104
RES010061;2024/10/31;App;120;2024/10/31;2;136,49;109
RES010062;2024/08/09;Velora.com;115;2024/09/07;1;191,44;102
RES010063;2024/10/01;Velora.com;163;2024/10/03;2;135,78;105
RES010064;2024/09/23;Velora.com;275;2024/09/23;3;141,68;103
RES010065;2024/09/24;Velora.com;457;2024/11/02;2;117,77;101
RES010066;2024/09/08;Velora.com;155;2024/09/16;3;112,05;101
RES010067;2024/09/24;Phone;435;2024/09/26;3;132,53;110
RES010068;2024/08/21;GDS;403;2024/11/03;2;133,33;108
RES010069;2024/08/14;Phone;276;2024/09/09;2;146,08;107
RES010070;2024/09/04;Velora.com;397;2024/10/25;1;182,99;104
RES010071;2024/10/25;At the hotel;53;2024/10/26;1;129,02;108
RES010072;2024/09/12;Phone;400;2024/09/21;2;203,29;109
RES010073;2024/09/19;At the hotel;496;2024/09/20;2;138,55;102
RES010074;2024/09/20;Velora.com;180;2024/09/22;1;135,89;104
RES010075;2024/07/15;Velora.com;232;2024/10/10;1;247,95;108
RES010076;2024/09/10;GDS;235;2024/09/25;2;228,61;102
RES010077;2024/10/29;App;394;2024/12/01;3;152,66;101
RES010078;2024/10/23;At the hotel;69;2024/11/23;2;109,64;102
RES010079;2024/09/19;At the hotel;74;2024/09/20;5;192,77;106
RES010080;2024/08/20;App;275;2024/09/10;1;231,2;109
RES010081;2024/09/17;GDS;208;2024/09/20;2;145,33;106
RES010082;2024/10/24;Connected Wholesaler;103;2024/10/26;2;126,34;105
RES010083;2024/08/20;App;73;2024/09/25;2;227,11;109
RES010084;2024/09/17;GDS;85;2024/10/31;1;134,34;110
RES010085;2024/09/27;Velora.com;174;2024/10/18;1;126,34;109
RES010086;2024/09/03;GDS;494;2024/09/21;2;100,36;103
RES010087;2024/09/03;App;203;2024/09/03;2;113,55;107
RES010088;2024/09/20;Velora.com;265;2024/09/24;3;194,41;104
RES010089;2024/10/03;Phone;322;2024/10/08;1;4,89;105
RES010090;2024/09/12;Phone;312;2024/09/15;1;126,62;102
RES010091;2024/08/07;GDS;361;2024/10/17;2;258,73;104
RES010092;2024/07/26;Velora.com;71;2024/09/26;1;194,82;102
RES010093;2024/09/29;GDS;129;2024/10/03;1;136,96;106
RES010094;2024/09/12;App;225;2024/10/13;1;112,08;108
RES010095;2024/10/16;At the hotel;497;2024/10/16;3;0;102
RES010096;2024/10/30;At the hotel;58;2024/11/01;2;162,65;104
RES010097;2024/08/25;Velora.com;99;2024/10/05;1;142,01;106
RES010098;2024/08/22;Velora.com;399;2024/10/01;1;241,54;102
RES010099;2024/09/15;App;485;2024/09/16;1;141,61;101
RES010100;2024/09/20;At the hotel;129;2024/09/20;1;159,17;109
RES010101;2024/09/06;Phone;454;2024/10/30;1;208,8;108
RES010102;2024/06/22;Velora.com;440;2024/10/01;2;146,68;106
RES010103;2024/10/05;At the hotel;34;2024/10/06;2;84,41;105
RES010104;2024/10/24;App;16;2024/10/27;2;98,61;104
RES010105;2024/09/18;Velora.com;416;2024/10/11;2;189,01;106
RES010106;2024/09/08;Velora.com;294;2024/09/15;3;119,69;110
RES010107;2024/07/28;GDS;298;2024/10/04;1;146,38;108
RES010108;2024/09/27;App;390;2024/09/27;3;138,55;108
RES010109;2024/08/30;GDS;480;2024/10/12;1;114,11;105
RES010110;2024/09/20;Velora.com;208;2024/09/26;1;251,18;108
RES010111;2024/10/06;At the hotel;283;2024/10/28;1;62,64;104
RES010112;2024/10/28;GDS;165;2024/11/01;2;175,75;110
RES010113;2024/09/17;Velora.com;255;2024/09/20;2;170,98;108
RES010114;2024/11/01;App;47;2024/11/01;2;115,93;104
RES010115;2024/10/26;Velora.com;307;2024/10/27;2;129,99;104
RES010116;2024/10/30;Velora.com;449;2024/10/30;2;322,01;104
RES010117;2024/09/22;At the hotel;121;2024/09/25;3;145,48;108
RES010118;2024/09/27;Velora.com;168;2024/09/28;1;195,41;103
RES010119;2024/09/07;GDS;392;2024/09/18;2;162,63;110
RES010120;2024/09/28;Velora.com;8;2024/10/01;2;198,78;107
RES010121;2024/10/19;App;48;2024/10/30;1;216,58;109
RES010122;2024/10/03;GDS;439;2024/10/30;1;166,1;106
RES010123;2024/09/14;Velora.com;1;2024/11/26;2;131,62;104
RES010124;2024/06/26;Velora.com;289;2024/10/24;2;170;108
RES010125;2024/09/27;Velora.com;120;2024/09/27;1;150,29;109
RES010126;2024/08/19;Velora.com;446;2024/10/02;2;207,88;106
RES010127;2024/08/13;Velora.com;304;2024/09/04;1;144,28;102
RES010128;2024/10/21;At the hotel;259;2024/10/29;1;33,73;107
RES010129;2024/10/14;At the hotel;317;2024/10/16;2;132,64;101
RES010130;2024/08/28;Connected Wholesaler;47;2024/09/27;1;168,19;109
RES010131;2024/09/29;App;223;2024/09/29;1;90,36;106
RES010132;2024/10/11;At the hotel;407;2024/11/13;1;70,48;104
