id,name,sex,height,weight,team
57267,Maiko Kano,F,185,72,Japan
57268,Makoto Kano,M,176,67,Japan
57269,Miyuki Kano,F,174,65,Japan
57270,Kadiatou Kanoute,F,178,,Mali
57271,Manda Kanout,F,,,Mali
57272,Annette Kansy,F,153,45,East Germany-2
57273,Hari Kant,M,180,80,Canada
57274,Laxmi Kanta Das,M,,60,India
57275,Paavo Tapio Kantanen,M,184,73,Finland
57276,Nihan Kantarc,F,158,72,Turkey
57277,Rami Kantari,M,176,72,Lebanon
57278,Sataporn Kantasa-Ard,M,164,53,Thailand
57279,Nicole Kantek,F,,,Australia
57280,Gerd Kanter,M,196,125,Estonia
57281,"Marlies Kanthak (-Helbig, -Ray)",F,172,66,East Germany
57282,Nina Kanto Njitam,F,177,74,France
57283,Arja Leena Kantola (-Klemz),F,167,54,Finland
57284,Denny Kwan Kantono,M,182,,Indonesia-1
57285,Anik Kntor,F,167,57,Hungary
57286,Hans Kantor,M,,,Austria
57287,Benjamin MacKinlay (Benjamin McKinlay-) Kantor,M,,,United States
57288,Piotr Kantor,M,200,90,Poland-2
57289,Roman Jzef Kantor,M,,,Poland
57290,Waldo Ariel Kantor,M,178,74,Argentina
57291,Pavel Kantorek,M,172,63,Czechoslovakia
57292,Barbara Kantorov,F,169,63,Slovakia
57293,Jaroslav Kantrek,M,183,77,Czechoslovakia
57294,Dimitrios Kantzias,M,,,Greece
57295,Christopher Ogbonna Kanu,M,172,72,Nigeria
57296,Nwankwo Christian Nwosu Kanu,M,197,80,Nigeria
57297,Ben Kanute,M,183,70,United States
57298,Kennedy Kanyanta,M,170,51,Zambia
57299,Igor Vladimirovich Kanygin,M,184,90,Soviet Union
57300,Vladimir Aleksandrovich Kanygin,M,162,75,Soviet Union
57301,Maher Al-Kanzari,M,177,67,Tunisia
57302,Kao Chih-Kang,M,178,75,Chinese Taipei
57303,Kao Hao-Wen,M,180,82,Chinese Taipei
57304,Shigeo Kaoku,M,164,56,Japan
57305,Wilson Kaoma,M,,,Zambia
57306,Eston Kaonga,M,175,72,Malawi
57307,Esko Antero Kaonp,M,,,Finland
57308,Adil El-Kaouch,M,170,62,Morocco
57309,Anastasiya Aleksandrovna Kapachinskaya,F,176,62,Russia
57310,Mary-Estelle Kapalu (-Mahuk),F,164,57,Vanuatu
57311,Constantino Kapambwe,M,162,57,Zambia
57312,Hannu Mauri Antero Kapanen,M,178,76,Finland
57313,Niko Klaus Petteri Kapanen,M,177,80,Finland
57314,Sami Hannu Antero Kapanen,M,177,80,Finland
57315,Boglrka Kaps,F,168,54,Hungary
57316,Julien-Pierre Kapek,M,178,71,France
57317,Zaina Kapepula,F,180,73,Congo (Kinshasa)
57318,Marios Kaperonis,M,173,60,Greece
57319,Roland Kapf,M,182,88,West Germany
57320,Rejoice Kapfumvuti,F,160,53,Zimbabwe
57321,Ramona Kapheim (Jahnke-),F,177,68,East Germany
57322,Eckart Kaphengst,M,178,69,West Germany
57323,Mieczysaw Kapiak,M,,,Poland
57324,Dragan Kapii,M,198,95,Yugoslavia
57325,Josef Kapn,M,181,81,Czechoslovakia
57326,Kitson Kapiriel,M,153,70,Federated States of Micronesia
57327,Vladimir Kapirulin,M,,,Soviet Union
57328,Inna Vitalyevna Kapishina,F,170,56,Belarus
57329,Petar Kapisoda,M,188,82,Serbia and Montenegro
57330,Fletcher Kapito,M,173,69,Malawi
57331,Dmitry Pavlovich Kapitonov,M,186,70,Russia
57332,Viktor Arsenyevich Kapitonov,M,178,73,Soviet Union
57333,Hamit Kaplan,M,190,97,Turkey
57334,Harold Solomon Kaplan (Hohan-),M,,,Canada
57335,Ron Kaplan,M,,,Israel
57336,Stephen Kaplan,M,173,66,United States
57337,Valery Yevgenyevich Kaplan,M,174,73,Soviet Union
57338,Oldika Kaplanov (Rouav-),F,161,60,Czechoslovakia
57339,Vladimir Aleksandrovich Kaplichny,M,181,78,Soviet Union
57340,Vladimir Iosifovich Kaplunov,M,160,69,Soviet Union
57341,Oskar Kaplur,M,173,,Russia
57342,Andrejs Kapmals,M,,,Russia
57343,Anik Kapcs,F,183,70,Hungary
57344,Gyrgy Kapocsi,M,,,Hungary
57345,Christopher Kapopo,M,,,Zambia
57346,Mladen Kapor,M,,,Individual Olympic Athletes
57347,Imre Kapossy,M,,,Hungary
57348,"Andreas ""Andy"" Kapp",M,185,90,Germany
57349,Anneliese Kapp,F,,,Germany
57350,Dietloff Kapp,M,,,Germany
57351,Erhardt Kapp,M,180,77,United States
57352,Osvald (-Oswald) Kpp,M,173,,Estonia
57353,"Ulrich ""Uli"" Kapp",M,184,81,Germany
57354,Marcel Kappeler,M,,,France
57355,Andreas Kappes,M,174,68,West Germany
57356,Bianca Kappler,F,180,64,Germany
57357,Chris Kappler,M,190,72,United States
57358,Bohumila Kapplov,F,169,68,Czechoslovakia
57359,Jan Kapr,M,,,Czechoslovakia
57360,Spyros Kapralos,M,182,82,Greece
57361,Andrey Nikolayevich Kapralov,M,190,76,Russia
57362,Vadim Pavlovich Kapranov,M,190,85,Soviet Union
57363,Olga Sergeyevna Kapranova,F,177,55,Russia
57364,Ioannis Kapraras,M,,,Greece
57365,Anik Kapros,F,172,62,Hungary-1
57366,Ruth Kaps,F,170,65,Germany
57367,Velik Nikolov Kapsazov,M,167,67,Bulgaria
57368,Eduardo Guillermo Kapstein Suckel,M,,,Chile
57369,Vadim Aleksandrovich Kaptur,M,174,67,Belarus
57370,Vasily Borisovich Kaptyukh,M,197,125,Belarus
57371,Franz Kapus,M,188,92,Switzerland-2
57372,Richard Kapu,M,182,92,Slovakia
57373,Tom Kapusta,M,182,86,Czech Republic
57374,Denis Viktorovich Kapustin,M,190,84,Russia
57375,Oleksandr Viktorovych Kapustin,M,,,Ukraine
57376,Sergey Alekseyevich Kapustin,M,180,88,Soviet Union
57377,Aleksandra Vitalyevna Kapustina,F,166,74,Russia
57378,Jana Kapustov,F,171,65,Slovakia
57379,Gbor Kapuvri,M,183,85,Hungary
57380,Stefan Kapaniak,M,176,73,Poland
57381,Chintamoni Kar,M,,,Great Britain
57382,Edward Kar,M,170,61,Liberia
57383,Miriam Kara,F,161,50,Israel
57384,"Theodore Ernst ""Ted"" Kara",M,,,United States
57385,Reit Karabacak,M,170,82,Turkey
57386,Yelizaveta Karabash,F,178,54,Ukraine
57387,Samir Karabai,M,180,74,Bosnia and Herzegovina
57388,Luka Karabatic,M,202,108,France
57389,Nikola Karabatic,M,194,104,France
57390,Dimitrios Karabatis,M,184,80,Greece
57391,Brahim Karabi,M,176,69,Tunisia
57392,"Daniel ""Dan"" Karabin",M,172,74,Czechoslovakia
57393,Daouda Karabou,M,198,92,France
57394,Vladimir Nikolayevich Karabutov,M,195,93,Unified Team
57395,German Yevgenyevich Karachevsky,M,,,Unified Team
57396,Ella Aleksandrovna Karachkova (-Diehl),F,175,67,Russia
57397,Ilko Angelov Karacholov,M,184,82,Bulgaria
57398,Ivan Angelov Karacholov,M,180,82,Bulgaria
57399,Viktor Iosifovich Karachun,M,187,89,Belarus
57400,Igor Karai,M,191,91,Croatia
57401,Zsolt Karacs,M,,,Hungary
57402,Lszl Karcson,M,,,Hungary
57403,Gyula Karcsony,M,155,63,Hungary
57404,Mehmet Serhat Karada,M,167,60,Turkey
57405,"Vasiliki ""Vaso"" Karadasiou",F,182,73,Greece
57406,Tuba Karademir,F,165,63,Turkey
57407,Nagihan Karadere,F,173,65,Turkey
57408,Pter Kardi,M,,,Hungary
57409,Thomas Karadimas,M,,,Greece
57410,Georgi Yanchev Karadushev,M,180,102,Bulgaria
57411,Petar Karadzhov,M,178,82,Bulgaria
57412,mer Karaevli,M,176,69,Turkey
57413,Lszl Karaffa,M,193,92,Hungary
57414,Karel Karafit,M,187,75,Czechoslovakia
57415,Iveta Karafitov,F,174,66,Slovakia
57416,Marina Karaflou,F,160,64,Greece
57417,Alexandros Karageorgiou,M,172,58,Greece
57418,"Aristidis ""Aris"" Karageorgos",M,174,62,Greece
57419,Georgios Karageorgos,M,,,Greece
57420,Khristos Karageorgos,M,174,62,Greece
57421,Eftykhia Karagianni,F,168,61,Greece
57422,Argyris Karagiannis,M,,,Greece
57423,Nikolaos Karagiannis,M,,,"Lemzos Thorichton ""Psara""-3"
57424,G. Karagiannopoulos,M,,,Greece
57425,Maria Karagiannopoulou,F,150,48,Greece
57426,Iva Karagiozova-Shkodreva,F,163,55,Bulgaria
57427,Frat Karagll,M,179,71,Turkey
57428,Mustafa Karagll (-Karagol),M,183,64,Turkey
57429,Helen Karagounis (-Thieme-),F,179,65,Great Britain
57430,Nurdan Karagz,F,150,48,Turkey
57431,Soner Karagz,M,164,54,Turkey
57432,Ashot Karagyan,M,183,73,Soviet Union
57433,Momchil Karailiev,M,190,75,Bulgaria
57434,Dajana Karajica,F,165,60,Yugoslavia
57435,Suad Karajica,M,186,75,Yugoslavia
57436,Tilemakhos Karakalos,M,,,Greece
57437,Hedvig Karakas,F,167,61,Hungary
57438,Aleksandar Karakaevi,M,178,85,Serbia and Montenegro
57439,Georgi Rashkov Karakashev,M,,,Bulgaria
57440,Karakatsanis,M,,,Greece
57441,Konstantinos Karakatsanis,M,,,Greece
57442,Dudu Karakaya,F,167,48,Turkey
57443,Tuba Karakaya (-Koyuncu),F,168,55,Turkey
57444,Pen-Ek Karaket,M,170,57,Thailand
57445,David Karako,M,175,73,Israel
57446,Ayhan Karaku,M,165,55,Turkey
57447,Nimet Karaku,F,168,64,Turkey
57448,Milorad Karali,M,184,80,Yugoslavia
57449,Ioannis Karalogos,M,180,78,Greece
57450,Thomas Karalogos,M,178,75,Greece
57451,Mahmoud Abdeldayem Karam Abd Rabou,M,195,106,Egypt
57452,Nasser Karam,M,,,Egypt
57453,Veneta Karamandzhukova,F,180,80,Bulgaria
57454,Georgi Dimitrov Karamanliev,M,170,70,Bulgaria
57455,Ioannis Karamazakis,M,,,Greece
57456,Sergey Zakharovich Karamchakov,M,153,48,Soviet Union
57457,Lidiya Karamchakova,F,162,48,Tajikistan
57458,rem Karamete,F,167,60,Turkey
57459,Miyoko Karami,F,165,50,Japan
57460,Yousef Karami,M,183,80,Iran
57461,Elyes Al-Karamosly,M,194,104,Tunisia
57462,Hosni Al-Karamosly,M,188,82,Tunisia
57463,Filippos Karampetsos,M,192,95,Greece
57464,Vithal Karande,M,,,India
57465,Hossein Karandish,M,,,Iran
57466,Kseniya Yevhenivna Karandiuk,F,179,64,Ukraine
57467,Antonios Karangonidis,M,,,Thessalonki-1
57468,Pavlos Karangonidis,M,,,"Large boat, Central Naval Prep School ""Poros""-1"
57469,Aitor Karanka de la Hoz,M,181,79,Spain
57470,Patroklos Karantinos,M,,,Greece
57471,Ivaylo Karanyotov,M,178,64,Bulgaria
57472,Nezir Karap,M,179,74,Turkey
57473,Angeliki Karapataki,F,170,58,Greece
57474,Andreas Karapatakis,M,172,70,Cyprus
57475,Dimitrios Karapatakis,M,160,70,Cyprus
57476,Marios Karapatakis,M,167,67,Cyprus
57477,Rumyana Dimitrova Karapetrova,F,171,74,Bulgaria
57478,"Aleksandr ""Alex"" Karapetyan",M,170,92,Armenia
57479,Andranik Karapetyan,M,180,77,Armenia
57480,Yaln Karapnar,M,174,74,Turkey
57481,Aleksandr Karapuzov,M,173,,Soviet Union
57482,Tom Karas,M,200,97,Czech Republic
57483,Vladimr Karas,M,,,Czechoslovakia
57484,Wadysaw Kara,M,173,70,Poland
57485,David Karasek,M,190,85,Switzerland
57486,Pantelis Karasevdas,M,,,Greece
57487,Mariya Karashka,F,164,61,Bulgaria
57488,Katarzyna Karasiska,F,172,66,Poland
57489,Maria Karastamati,F,172,63,Greece
57490,Eirini Karastergiou,F,173,63,Greece
57491,Lyuben Karastoyanov,M,,,Bulgaria
57492,Nikolay Karasyov,M,182,115,Soviet Union
57493,Nikolay Karasyov,M,,,Soviet Union
57494,Sergey Vasilyevich Karasyov,M,203,80,Russia
57495,Valery Nikolayevich Karasyov,M,168,65,Soviet Union
57496,Anna Anatolyevna Karasyova,F,166,59,Belarus
57497,Olga Dmitryievna Karasyova (Kharlova-),F,164,55,Soviet Union
57498,Ilana Karaszyk,F,165,59,Israel
57499,Anastasios Karatzas,M,,,Greece
57500,Branislav Karauli,M,190,75,Yugoslavia
57501,Ivan Vyacheslavovich Karaulov,M,180,60,Kazakhstan
57502,Oleg Nikolayevich Karavayev,M,161,57,Soviet Union
57503,Irina Vladimirovna Karavayeva,F,165,52,Russia
57504,Bekir Karayel,M,170,62,Turkey
57505,Dimitri Karbanenko,M,174,70,France
57506,Milada Karbanov (-Matouov),F,178,62,Czechoslovakia
57507,Marek Karbarz,M,188,80,Poland
57508,Denise Karbon,F,160,58,Italy
57509,Karla Rae Karch-Gailus,F,173,68,Canada
57510,Sakina Karchaoui,F,160,53,France
57511,Heribert Karches,M,195,96,West Germany
57512,"Michael ""Mike"" Karchut",M,167,82,United States
57513,Lisa Ann Kari,F,186,81,Croatia
57514,"Irn Karcsics-Daruhzi (-Krpti, -Kubisch)",F,,,Hungary
57515,Imre Karcs,M,169,63,Hungary
57516,Tibor Karczag,M,160,60,Hungary
57517,Marcin Karczyski,M,178,66,Poland
57518,Amiran Kardanov,M,162,54,Greece
57519,Murat Nausbiyevich Kardanov,M,178,76,Russia
57520,Johannes Kardiono,M,168,57,Indonesia
57521,Arwin Everard Clemens Kardolus,M,183,76,Netherlands
57522,Olaf Johannes Marinus Kardolus,M,183,105,Netherlands
57523,"Donald Franklin ""Don"" Kardong",M,190,68,United States
57524,Olga Vitalyevna Kardopoltseva,F,170,56,Belarus
57525,Gza Kardos,M,183,81,Hungary
57526,Maria Kardum,F,167,54,Sweden
57527,Aleksandr Aleksandrovich Karelin,M,193,99,Soviet Union
57528,Pavel Vladimirovich Karelin,M,178,61,Russia
57529,"Neeltje Jannetje ""Nel"" Karelse",F,,,Netherlands
57530,Karen Gustavo Rocha Valente,F,177,68,Brazil
57531,Wilfred Kareng,M,172,66,Botswana
57532,Virginia Karentzou,F,160,47,Greece
57533,Bo Roland Karenus,M,,,Sweden
57534,Andrey Germanovich Karev,M,180,90,Belarus
57535,Anna Vasilyevna Kareyeva,F,185,85,Russia
57536,Akbar Kargar Jam,M,176,76,Iran
57537,Houshang Kargarnejad,M,174,110,Iran
57538,Michaela Kargbo,F,160,45,Sierra Leone
57539,Saidu Kargbo,M,150,48,Sierra Leone
57540,Martin Kargl,M,,,Austria
57541,Minna Marika Karhu,F,171,61,Finland
57542,Urho Johannes Karhumki,M,,,Finland
57543,Esko Ensio Karhunen,M,183,,Finland
57544,Monia Kari,F,172,72,Tunisia
57545,Regina Kari (-Harjula),F,,,Finland
57546,Steven Kari,M,167,85,Papua New Guinea
57547,Ohene Karikari,M,177,60,Ghana
57548,Tuomo Arto Mikael Karila,M,172,82,Finland
57549,Abdul Karim,M,163,66,Indonesia
57550,Aman Ullah Karim,M,,,Malaya
57551,Faisal Karim,M,169,64,Pakistan
57552,Mahdi Karim Ajeel,M,170,75,Iraq
57553,Menatalla Karim Ahmad,F,160,65,Egypt
57554,Muhammad Karim,M,163,64,Pakistan
57555,Sultan Karim Ali,M,,,Pakistan
57556,Alireza Mohammad Karimimachiani,M,175,90,Iran
57557,Hassan Karimou,M,,,Niger
57558,Aliya Toregaliyevna Karimova,F,162,51,Kazakhstan
57559,Elvina Khaydaryanovna Karimova,F,166,62,Russia
57560,Nataliya Valeryevna Karimova,F,167,60,Russia
57561,Yevgeniya Karimova,F,176,73,Uzbekistan
57562,Nurzhan Minzhasarovich Karimzhanov,M,173,64,Kazakhstan
57563,Karin Rodrigues,F,187,77,Brazil
57564,Endri Karina,M,186,94,Albania
57565,Kari Elida Kring,F,166,60,Norway
57566,Ayumi Karino,F,160,57,Japan
57567,Andreas Pheobus Kariolou,M,181,74,Cyprus
57568,Konstantinos Kariotis,M,199,103,Greece
57569,Keld Henrik Vestergaard Karise,M,,,Denmark
57570,Tanja Kariik,F,168,55,Bosnia and Herzegovina
57571,Dmytro Mykolaiovych Kariuchenko,M,179,79,Ukraine
57572,Heorhiy Tymofeiovych Kariukhin,M,182,81,Soviet Union
57573,Julius Kariuki,M,181,62,Kenya
57574,Paul Tetsuhiko Kariya,M,178,78,Canada
57575,Frans Mikael Karjagin,M,,,Finland
57576,Jouko Kalevi Karjalainen,M,183,73,Finland
57577,Olli-Pekka Karjalainen,M,194,120,Finland
57578,Osmo Karjalainen,M,173,63.5,Finland
57579,Vladimir Krk,M,194,,Estonia
57580,Ashok Kumar Karki,M,157,55,Nepal
57581,Karishma Karki,F,155,44,Nepal
57582,Juhani Tapio Antero Krkinen,M,165,63,Finland
57583,Hannes Krkkinen,M,,,Finland
57584,Wojciech Jacek Karkusiewicz,M,188,99,Poland
57585,Benjamin Martin Karl,M,186,90,Austria
57586,Gnther Karl,M,188,87,West Germany
57587,Martin Karl,M,,,Germany
57588,Karla Cristina Martins da Costa,F,173,65,Brazil
57589,Petras Karla,M,188,86,Soviet Union
57590,Ernst Wilhelm Ludvig Karlberg,M,,,Sweden
57591,Tomas Joakim Karlberg,M,186,84,Sweden
57592,Charles George Karle,M,183,79,United States
57593,Maude Astrid Karln,F,,,Sweden
57594,Ren Karlen,M,,,Switzerland
57595,Joachim Karliczek,M,,,Poland
57596,Bohuslav Karlk,M,,,Czechoslovakia
57597,Jnis Karlivns,M,195,91,Latvia
57598,Tomislav Karlo,M,187,84,Croatia
57599,Larysa Oleksandrivna Karlova,F,176,67,Soviet Union
57600,Ivo Karlovi,M,208,98,Croatia
57601,Jnos Karlovits,M,,,Hungary
57602,Sven Tommy Karls,M,181,85,Sweden
57603,Harry Boye Karlsen,M,,,Norway
57604,Norveig Karlsen (-Christiansen),F,,,Norway
57605,Truls Ove Karlsen,M,172,73,Norway
57606,William Arnold Karlsen,M,183,,Norway
57607,Yngvar Hafsund Karlsen,M,,,Norway
57608,Gitte Karlshj,F,171,56,Denmark
57609,Kristine Ann Karlson,F,175,65,United States
57610,"Elfrda Karlsone (-Kukaine, -Brzia)",F,,,Latvia
57611,ke Aleksej Karlsson (-Keiras),M,,,Finland
57612,Elsa Anita Karlsson (-Dion),F,170,67,Sweden
57613,Ann-Ewa Karlsson (-Thrnhammer),F,183,68,Sweden
57614,Ann-Marie Elisabeth Karlsson,F,164,50,Sweden
57615,Anna Camilla Therese Karlsson,F,165,70,Sweden
57616,Nils Arne Axel Karlsson,M,189,88,Sweden
57617,Ernst Arne Karlsson,M,174,76,Rush VII
57618,Karl Bertil Karlsson,M,175,63,Sweden
57619,Birger Gabriel Karlsson,M,188,88,Finland
57620,Irma Christina Karlsson (-Wuopio),F,160,59,Sweden
57621,Karl David Karlsson,M,,,Sweden
57622,Erik David Einar Karlsson,M,,,Sweden
57623,Erik Sven-Gunnar Karlsson,M,181,79,Sweden
57624,Eva Gunilla Karlsson (-Ohlsson),F,174,68,Sweden
57625,Eva-Lena Lisbet Karlsson (-Frick),F,169,62,Sweden
57626,Evert Gotthardt Karlsson,M,,,Sweden
57627,Hkan Martin Karlsson,M,175,68,Sweden
57628,Jonas Klas Hkan Karlsson (-Gillman),M,,,Sweden
57629,Ernst Hjalmar Karlsson,M,,,Rush V
57630,Holger Karl Karlsson,M,165,62,Sweden
57631,Jan Bengt Peter Karlsson,M,185,75,Sweden
57632,Jan Egon Karlsson,M,183,76,Sweden
57633,Jan-Erik Karlsson,M,183,70,Sweden
57634,Jenny Maria Karlsson,F,174,69,Sweden
57635,Joon-Olof Karlsson,M,203,100,Sweden
57636,Kri Steinn Karlsson,M,,,Iceland
57637,Karl (Cles Zacharias-) Karlsson,M,166,,Sweden
57638,Karl-Axel Ingvald Karlsson,M,183,92,Sweden
57639,Kenth Alvar Karlsson,M,189,84,Sweden
57640,Kristian Karlsson,M,183,82,Sweden
57641,Lars Olof Karlsson,M,184,76,Sweden
57642,Lars Olof Karlsson,M,178,80,Sweden
57643,Louise Viktoria Karlsson,F,,,Sweden
57644,Mats Ingvar Karlsson (-Skld),M,194,88,Sweden
57645,Mattias Karlsson,M,191,88,Sweden
57646,Nils Emanuel Karlsson,M,,,Sweden
57647,Per-Olof Karlsson,M,182,78,Mari
57648,Karl Peter Karlsson,M,189,83,Sweden
57649,Jim Peter Karlsson,M,175,75,Sweden
57650,Raimo Johan Karlsson,M,185,114,Finland
57651,Roine Sven Torbjrn Karlsson,M,178,65,Sweden
57652,Stefan Bjrn Ingvar Karlsson,M,179,77,Sweden
57653,Sten Egon Morgan Karlsson,M,171,68,Sweden
57654,Stina Ulrika Karlsson (-Smskar),F,173,58,Sweden
57655,Bror Mikael Tobias Karlsson,M,196,104,Sweden
57656,Alf Tord Karlsson,M,182,80,Sweden
57657,Tore Lennart Karlsson,M,,,Sweden
57658,Anna Ulrika Karlsson (-Olsson),F,,,Sweden
57659,Henning Waldemar Karlsson (-Carlson-),M,,,Sweden
57660,Johan Werner Karlsson,M,,,Sweden
57661,Ida-Theres Karlsson-Nerell,F,159,55,Sweden
57662,Karl Gunnar Alfred Karlsson-Tjrnebo,M,176,68,Sweden
57663,Geir Karlstad,M,190,80,Norway
57664,Jon-Magne Karlstad,M,188,80,Norway
57665,Philip Enrique Perseus Karlstrm,M,184,73,Sweden
57666,Karma,F,163,51,Bhutan
57667,Raycho Karmadzhiev,M,172,76,Bulgaria
57668,Dipa Karmakar,F,151,47,India
57669,Joydeep Karmakar,M,177,73,India
57670,Mehmut evket Karman,M,,,Turkey
57671,Vasily Ivanovich Karmanov,M,,,Soviet Union
57672,Mohamed Karmous,M,154,52,Morocco
57673,Simone Karn (-Weiler),F,173,60,Germany
57674,Jarmo Kalevi Krn,M,183,81,Finland
57675,Ulrich Karnatz,M,192,91,East Germany
57676,"Ronald Daniel ""Ron"" Karnaugh",M,195,91,United States
57677,Anna Olegovna Karnaukh,F,173,61,Russia
57678,Hanna Hryhorivna Karnaushenko,F,180,70,Soviet Union
57679,Benno Karner,M,,,Austria-2
57680,"Leopold ""Leo"" Karner",M,182,71,Austria
57681,Artras Karniovas,M,203,96,Lithuania
57682,Peter Van Karns,M,178,66,United States
57683,Alfons Karny,M,,,Poland
57684,Khristoforos Karolou,M,,,Nephos I
57685,Jen Kroly,M,,,Hungary
57686,Per Lassi Karonen,M,196,105,Sweden
57687,Vin Aleksander Karonen,M,,,Finland
57688,Menelaos Karotzieris,M,,,Greece
57689,Khalifa Karouane,M,175,57,Morocco
57690,Radwan Karout,M,,,Syria
57691,Dimitar Lyukov Karov,M,173,70,Bulgaria
57692,Algo Krp,M,192,81,Estonia
57693,Vitalijus Karpaiauskas,M,173,67,Lithuania
57694,Deniss Karpak,M,200,100,Estonia
57695,Vaughn Karpan,M,183,79,Canada
57696,Gyrgy Krpti,M,167,71,Hungary
57697,Kroly Krpti (Kellner-),M,,,Hungary
57698,dn Krpti (Kraml-),M,,,Hungary
57699,Rudolf Krpti,M,179,64,Hungary
57700,Ihor Vasylovych Karpenko,M,172,77,Ukraine
57701,Nikolay Nikolayevich Karpenko,M,179,62,Kazakhstan
57702,Valentyna Karpenko,F,168,67,Ukraine
57703,Viktoriya Pavlivna Karpenko,F,148,40,Ukraine
57704,Oscar Hugo Karpenkopf,M,177,67,Argentina
57705,Nataliya Vladimirovna Karpenkova,F,156,47,Belarus
57706,Vladimir Aleksandrovich Karpets,M,192,75,Russia
57707,Svetlana Anatolyevna Karpeyeva,F,176,68,Russia
57708,Jzef Karpiel,M,172,78,Poland
57709,Stanisaw Karpiel,M,167,75,Poland
57710,Marzena Karpiska,F,150,47,Poland
57711,"Kenneth ""Ken"" Karpoff",M,178,74,Canada
57712,Gennady Mikhaylovich Karponosov,M,173,66,Soviet Union-3
57713,Georgios Karpouzis,M,,,Greece
57714,Dmitry Vasilyevich Karpov,M,198,98,Kazakhstan
57715,Nikolay Ivanovich Karpov,M,,,Soviet Union
57716,Oleg Karpov,M,165,65,Unified Team
57717,Rychard Oleksandrovych Karpov,M,,,Soviet Union
57718,Valery Yevgenyevich Karpov,M,178,80,Russia
57719,Olga Karpova,F,185,64,Kazakhstan
57720,Yelena Viktorovna Karpova,F,188,73,Russia
57721,Oleksandra Andreyevna Karpovich,F,160,55,Russia
57722,Klaes Karppinen,M,164,59.5,Finland
57723,Pertti Johannes Karppinen,M,201,100,Finland
57724,Reima Juhani Karppinen,M,193,89,Finland
57725,"Nataliya ""Nadezhda"" Karpukhina",F,156,53,Soviet Union
57726,Marina Germanovna Karpunina,F,178,73,Russia
57727,Haimish John Karrasch,M,182,70,Australia
57728,Bernd Karrenbauer,M,173,83,East Germany
57729,Heinz Karrer,M,189,79,Switzerland
57730,Josef Karrer,M,180,87,West Germany
57731,Sylvia Jeanne Alice Karres,F,163,58,Netherlands
57732,George Karrys,M,180,82,Canada
57733,Kateryna Yevhenivna Karsak,F,182,88,Ukraine
57734,Joachim Karsch,M,,,Germany
57735,Monika Karsch,F,158,55,Germany
57736,Rudolf Karsch,M,,,Germany
57737,Aleksandr Vladimirovich Karshakevich,M,184,87,Soviet Union
57738,Robert Karnicki,M,187,80,Poland
57739,Nikolaos Karsouvas,M,,,"Life boat naval ship ""Spetsai""-1"
57740,Michael Karst,M,173,61,West Germany
57741,Elke Josselinne Karsten,F,175,65,Argentina
57742,Horst Karsten,M,170,65,Germany
57743,Kai Karsten,M,188,75,Germany
57744,Anke Karstens,F,175,65,Germany
57745,Gerben Karstens,M,178,74,Netherlands
57746,Jan Ivar Krstrm,M,176,83,Sweden
57747,Mrti Karsums,M,178,90,Latvia
57748,Mariya Kartalova,F,157,42,Bulgaria
57749,Nilay Kartaltepe (Yiit-),F,172,52,Turkey
57750,Anatoly Nikolayevich Kartashov,M,180,78,Soviet Union
57751,Dmitry Kartashov,M,185,72,Russia
57752,Alyona Vladimirovna Kartashova,F,164,63,Russia
57753,Sebastian Kartfjord,M,181,80,Norway
57754,Georg Karth,M,,,Germany
57755,Doszhan Nurbatyrovich Kartikov,M,173,75,Kazakhstan
57756,Ossi Jalmari Karttunen,M,183,76.5,Finland
57757,Franz Kartz,M,155,,Germany
57758,Esko K. Karu,M,188,95,Canada
57759,Shunji Karube,M,184,69,Japan
57760,Matti Antero Karumaa,M,,,Finland
57761,Ranatunge J. K. Karunananda,M,167,52,Sri Lanka
57762,Hatha Kapuralalage Karunaratne,M,163,47,Sri Lanka
57763,Kuruppu Arachigue Karunaratne,M,169,52,Sri Lanka
57764,Niluka Karunaratne,M,176,73,Sri Lanka
57765,Sinnayah Karuppiah Jarabalan,M,,,Malaya
57766,Igor Karva,M,181,68,Slovakia
57767,Filippos Karvelas,M,,,Greece
57768,Konstantinos Karvelas,M,,,Greece
57769,Michelle Karvinen,F,166,69,Finland
57770,Aki Tapani Karvonen,M,176,70,Finland
57771,Brje Karl Verner Karvonen,M,169,54,Finland
57772,Pentti Kalevi Karvonen (Karvanen-),M,186,65,Finland
57773,Veikko Leo Karvonen,M,165,54,Finland
57774,Bronisaw Karwecki,M,,,Poland
57775,Rajmund Karwicki,M,173,72,Poland
57776,Bernd Karwofsky,M,180,,East Germany
57777,"Alexander ""Alex"" Karwoski",M,193,91,United States
57778,"Zakharoula ""Zara"" Karyami",F,166,43,Greece
57779,"Konstantinos ""Kostas"" Karydas",M,,,Greece
57780,Nikolaos Karydias,M,,,Greece
57781,Dimitrios Karydis,M,175,75,Greece
57782,Antonios Karyofyllis,M,,,Greece
57783,Ioannis Karyofyllis,M,169,75,Greece
57784,Ioannis Karyofyllis,M,,,Greece
57785,"Nikolaos ""Nikos"" Karypidis",M,167,63,Greece
57786,Savvas Karypidis,M,183,88,Greece
57787,Marina Karystinou,F,,,Greece
57788,Devery Karz,F,173,59,United States
57789,Christopher Kas,M,188,84,Germany-1
57790,Gabor Kasa,M,180,72,Serbia
57791,Arsen Kasabijew,M,176,94,Georgia
